,Year,Brand,Model,Driven_Kms,Fuel_Type,Transmission_Type,Features,City,Price(L),EMI(month)
0,2018,Maruti,Dzire VXI AMT,43091,Petrol,Automatic,Safety Specs.,Hyderabad,6.16,"12,043"
1,2019,Hyundai,NEW SANTRO SPORTZ AMT,25159,Petrol,Automatic,Spl. Reg. No.,Hyderabad,5.35,"10,459"
2,2020,Ford,Ecosport TITANIUM + 1.5L PETROL AT,10885,Petrol,Automatic,Top Model,Hyderabad,10.08,"19,186"
3,2016,Maruti,Celerio VXI AMT,53167,Petrol,Automatic,Low Run Cost,Hyderabad,4.13,"8,074"
4,2015,Hyundai,Grand i10 ASTA 1.2 KAPPA VTVT,42198,Petrol,Manual,Top Model,Hyderabad,4.51,"8,817"
5,2020,Hyundai,GRAND I10 NIOS SPORTZ 1.0 TURBO GDI DUAL TONE,10622,Petrol,Manual,Regularly Serviced,Hyderabad,7.17,"14,017"
6,2021,KIA,SONET GTX PLUS 1.0 DCT DUAL TONE,38579,Petrol,Automatic,Sunroof,Hyderabad,12.48,"23,755"
7,2018,Maruti,Dzire ZXI,50715,Petrol,Manual,Top Model,Hyderabad,6.66,"13,020"
8,2021,Maruti,Vitara Brezza ZXI,6669,Petrol,Manual,Top Model,Hyderabad,8.91,"16,959"
9,2019,Renault,Kwid RXT 1.0,37055,Petrol,Manual,Top Model,Hyderabad,3.39,"6,628"
10,2021,Maruti,New Wagon-R LXI 1.0,42753,Petrol,Manual,Regularly Serviced,Hyderabad,4.92,"9,619"
11,2013,Renault,Duster 85 PS RXL PLUS DIESEL,92988,Diesel,Manual,Safety Specs.,Hyderabad,3.79,"12,588"
12,2016,Maruti,Swift VXI,95377,Petrol,Manual,Essntl. Specs,Hyderabad,4.86,"9,501"
13,2019,Datsun,Go Plus T,62906,Petrol,Manual,100% Tyre Life,Hyderabad,3.97,"7,761"
14,2016,Maruti,Alto K10 VXI,35123,Petrol,Manual,Top Model,Hyderabad,3.09,"6,041"
15,2017,Hyundai,i20 Active 1.2 SX,95737,Petrol,Manual,Top Model,Hyderabad,6.31,"12,336"
16,2020,Hyundai,GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,70045,Petrol,Manual,Alloy Wheels,Hyderabad,6.59,"12,884"
17,2013,Toyota,Etios G,82484,Petrol,Manual,100% Tyre Life,Hyderabad,4.04,"10,639"
18,2019,Mahindra,KUV 100 NXT K8 P 6 STR DUAL TONE,44303,Petrol,Manual,Top Model,Hyderabad,6.30,"12,317"
19,2015,Hyundai,Xcent S 1.2,111396,Petrol,Manual,Essntl. Specs,Hyderabad,4.25,"9,454"
20,2012,Honda,Brio S MT,87778,Petrol,Manual,Spl. Reg. No.,Hyderabad,2.90,"9,632"
21,2022,Maruti,New Wagon-R ZXI 1.2,9202,Petrol,Manual,Regularly Serviced,Hyderabad,6.45,"12,610"
22,2018,Renault,Kwid RXT 1.0 (O),28660,Petrol,Manual,Top Model,Hyderabad,3.21,"6,276"
23,2018,Honda,City 1.5L I-DTEC V,75410,Diesel,Manual,Alloy Wheels,Hyderabad,7.91,"15,464"
24,2021,Maruti,Swift VXI,50545,Petrol,Manual,Safety Specs.,Hyderabad,6.34,"12,395"
25,2017,Hyundai,Creta SX PLUS AT 1.6 PETROL,81845,Petrol,Automatic,Spl. Reg. No.,Hyderabad,10.36,"19,719"
26,2014,Hyundai,Verna FLUIDIC 1.6 CRDI SX,78993,Diesel,Manual,Top Model,Hyderabad,5.20,"13,694"
27,2021,Tata,PUNCH ACCOMPLISHED AMT,28773,Petrol,Automatic,Regularly Serviced,Hyderabad,7.08,"13,842"
28,2011,Hyundai,i10 MAGNA 1.2,20736,Petrol,Manual,Regularly Serviced,Hyderabad,2.79,"13,133"
29,2018,Mahindra,Scorpio S5,94809,Diesel,Manual,Safety Specs.,Hyderabad,8.82,"16,788"
30,2013,Maruti,Ertiga ZDI,91696,Diesel,Manual,Top Model,Hyderabad,6.05,"20,095"
31,2021,KIA,SELTOS HTK PLUS 1.5,31348,Petrol,Manual,Alloy Wheels,Hyderabad,11.59,"22,060"
32,2012,Renault,Duster 85 PS RXL DIESEL,68328,Diesel,Manual,goodClearance,Hyderabad,3.56,"16,758"
33,2017,Tata,Tiago XZA PETROL,62204,Petrol,Automatic,Top Model,Hyderabad,4.74,"9,267"
34,2017,Hyundai,Creta 1.6 CRDI SX PLUS AUTO,99588,Diesel,Automatic,Spl. Reg. No.,Hyderabad,9.30,"17,702"
35,2016,Hyundai,Creta SX PLUS 1.6 PETROL,76317,Petrol,Manual,Top Model,Hyderabad,7.87,"15,386"
36,2019,Tata,Tiago XZ PETROL,21478,Petrol,Manual,Alloy Wheels,Hyderabad,5.25,"10,264"
37,2014,Maruti,Celerio VXI AMT,64820,Petrol,Automatic,Spl. Reg. No.,Hyderabad,3.47,"7,719"
38,2017,Renault,Kwid RXT 1.0,76863,Petrol,Manual,Top Model,Hyderabad,3.01,"5,885"
39,2020,Maruti,New Wagon-R LXI CNG (O) 1.0,66284,CNG,Manual,Regularly Serviced,Hyderabad,5.38,"10,518"
40,2016,Maruti,Wagon R 1.0 VXI,56162,Petrol,Manual,Top Model,Hyderabad,3.21,"6,276"
41,2016,Maruti,Baleno SIGMA PETROL 1.2,47741,Petrol,Manual,Safety Specs.,Hyderabad,4.79,"9,357"
42,2018,Maruti,Swift ZDI AMT,121368,Diesel,Automatic,Top Model,Hyderabad,5.96,"13,258"
43,2013,Hyundai,Eon ERA +,24996,Petrol,Manual,Spl. Reg. No.,Hyderabad,2.31,"6,083"
44,2018,Nissan,Micra XL (O) CVT,103755,Petrol,Automatic,Spl. Reg. No.,Hyderabad,4.30,"9,565"
45,2017,Honda,WR-V 1.5L I-DTEC VX MT,93129,Diesel,Manual,Top Model,Hyderabad,7.18,"14,037"
46,2012,Maruti,Swift Dzire VXI,100645,Petrol,Manual,Regularly Serviced,Hyderabad,3.75,"12,455"
47,2012,Hyundai,i10 MAGNA 1.2,57918,Petrol,Manual,100% Tyre Life,Hyderabad,2.72,"9,034"
48,2017,Hyundai,Creta SX 1.6 DIESEL,99288,Diesel,Manual,Top Model,Hyderabad,8.75,"16,653"
49,2019,Honda,Civic 1.8L I-VTEC ZX CVT,87136,Petrol,Automatic,,Hyderabad,16.08,"30,607"
50,2016,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,72324,Petrol,Manual,City Driven,Hyderabad,4.11,"8,035"
51,2023,Mahindra,Thar LX P 2WD AT HT,4232,Petrol,Automatic,Alloy Wheels,Hyderabad,15.45,"29,408"
52,2013,Hyundai,i20 MAGNA (O) 1.2,92904,Petrol,Manual,City Driven,Hyderabad,3.54,"9,322"
53,2017,Hyundai,Grand i10 SPORTZ (O) AT 1.2 KAPPA VTVT,72376,Petrol,Automatic,Alloy Wheels,Hyderabad,5.77,"11,280"
54,2017,Honda,City 1.5L I-VTEC V MT,57852,Petrol,Manual,Spl. Reg. No.,Hyderabad,6.89,"13,470"
55,2018,Maruti,Baleno ZETA PETROL 1.2,94450,Petrol,Manual,Alloy Wheels,Hyderabad,6.07,"11,867"
56,2016,Maruti,Baleno ALPHA PETROL 1.2,61719,Petrol,Manual,Top Model,Hyderabad,5.99,"11,711"
57,2022,Maruti,XL6 ALPHA PLUS MT DUAL TONE,30516,Petrol,Manual,Top Model,Hyderabad,12.32,"23,450"
58,2013,Maruti,Alto K10 VXI,31286,Petrol,Manual,Top Model,Hyderabad,2.08,"5,477"
59,2019,Tata,Tiago XZ PLUS PETROL,39581,Petrol,Manual,Alloy Wheels,Hyderabad,5.60,"10,948"
60,2017,Tata,Tiago XZA PETROL,31535,Petrol,Automatic,Top Model,Hyderabad,4.69,"9,169"
61,2017,Hyundai,Eon D-LITE+,87396,Petrol,Manual,Low Run Cost,Hyderabad,2.36,"4,614"
62,2011,Honda,City 1.5L I-VTEC S MT,64884,Petrol,Manual,City Driven,Hyderabad,3.64,"17,135"
63,2017,Hyundai,Elite i20 SPORTZ 1.2,65339,Petrol,Manual,Safety Specs.,Hyderabad,5.38,"10,518"
64,2021,Nissan,MAGNITE XV DUAL TONE,40090,Petrol,Manual,Spl. Reg. No.,Hyderabad,7.51,"14,682"
65,2020,Skoda,Rapid ACTIVE 1.0 TSI,66236,Petrol,Manual,Regularly Serviced,Hyderabad,7.10,"13,881"
66,2020,Jeep,Compass LIMITED PLUS DIESEL,44321,Diesel,Manual,Sunroof,Hyderabad,16.26,"30,949"
67,2019,Hyundai,Elite i20 ASTA (O) CVT,91916,Petrol,Automatic,Top Model,Hyderabad,6.77,"13,235"
68,2016,Honda,Jazz 1.2L I-VTEC V AT,85680,Petrol,Automatic,Alloy Wheels,Hyderabad,5.52,"10,792"
69,2013,Hyundai,i10 ASTA 1.2 AT SUNROOF,50536,Petrol,Automatic,Top Model,Hyderabad,3.88,"10,218"
70,2013,Honda,City 1.5L I-VTEC V MT,70653,Petrol,Manual,Alloy Wheels,Hyderabad,4.63,"12,193"
71,2019,Maruti,New Wagon-R VXI 1.0,64229,Petrol,Manual,Top Model,Hyderabad,4.61,"9,013"
72,2017,Hyundai,Grand i10 SPORTZ (O) AT 1.2 KAPPA VTVT,23270,Petrol,Automatic,Alloy Wheels,Hyderabad,5.92,"11,580"
73,2017,Volkswagen,Polo HIGHLINE1.2L,50037,Petrol,Manual,Spl. Reg. No.,Hyderabad,6.54,"12,786"
74,2017,Hyundai,Verna 1.6 VTVT SX,85902,Petrol,Manual,Alloy Wheels,Hyderabad,6.68,"13,060"
75,2013,Maruti,Swift VDI,73784,Diesel,Manual,City Driven,Hyderabad,4.33,"14,382"
76,2016,Hyundai,Elite i20 SPORTZ 1.2,74062,Petrol,Manual,Regularly Serviced,Hyderabad,5.67,"11,085"
77,2017,Toyota,Innova Crysta 2.8 ZX AT 7 STR,90942,Diesel,Automatic,Top Model,Hyderabad,19.40,"36,926"
78,2012,Maruti,Zen Estilo VXI,100105,Petrol,Manual,Top Model,Hyderabad,1.91,"6,344"
79,2019,Maruti,Ciaz DELTA DIESEL 1.5,83951,Diesel,Manual,Alloy Wheels,Hyderabad,7.07,"13,818"
80,2017,Mahindra,XUV500 W10 1.99,71597,Diesel,Manual,Sunroof,Hyderabad,12.18,"23,184"
81,2017,Honda,Jazz 1.2L I-VTEC V,91115,Petrol,Manual,Alloy Wheels,Hyderabad,4.71,"9,208"
82,2012,Maruti,Alto 800 LXI,65731,Petrol,Manual,100% Tyre Life,Hyderabad,1.98,"6,576"
